No;RAISONSOCIALE;REGION;COMMUNE;CONTACTS;SECTEUR
46;MULTISERVICES MARALODGE | MSML;ABIDJAN;TREICHVILLE;07 28 17 33;TOUS TRAVEAUX BATIMENTS -CLIMATISATION HOTEL
47;LABORATOIRE DE GEOTECHNIQUE ET DE CONTROLE |;ABIDJAN;COCODY;22 47 28 20;BTP / MATERIAUX DE CONSTRUCTION
48;HÔTEL MON AFRIK;ABIDJAN;BOUAKE;31 63 21 80;HEBERGEMENT ET RESTAURATION
49;5STARDIST | 5STARDIST;ABIDJAN;COCODY;49 43 61 52;AGROALIMENTAIRE
50;VAM'S SERVICES | VAM'S SERVICES;ABIDJAN;COCODY;21 74 09 33;BTP / MATERIAUX DE CONSTRUCTION
51;A.C.E ENTREPRISE | ACE;GONTOUGO;BONDOUKOU;35 90 52 68;AUTRES ( AGRO-PASTORAL/NTIC )
52;STAR SECURITE SERVICES | SSS;NAWA;SAN PEDRO;47 63 24 73;SECURITE PRIVEE DES PERSONNES ET DES BIENS
53;General Consulting Africa9 | General Consulting Africa9;ABIDJAN;KOUMASSI;09 28 10 24;BTP / MATERIAUX DE CONSTRUCTION
54;E-SAT | ETHERNET PAR SATELLITE;ABIDJAN;COCODY;07 86 18 15;INFORMATIQUES
55;USINE DE SECHAGE DE MANGUE DE OUANGOLO | U.S.M;TCHOLOGO;OUANGOLODOUGOU;07 70 69 22;AUTRES ( SECHAGE DE MANGUES )
56;IVOIRIENNE DE PROMOTION ET DE DISTRIBUTION | IPR;ABIDJAN;COCODY;22 52 37 00;COMMERCE / NEGOCE / DISTRIBUTION
57;GLOBAL LEADERS COORPORATION | GLC;ABIDJAN;COCODY;22 52 44 64;AGROALIMENTAIRE
58;ASTERIX | ASTERIX;ABIDJAN;COCODY;22 00 23 50;TELECOMS / INFORMATIQUES / ELECTRONIQUE / INDUSTRIEL
59;ST LOGISTIC;ABIDJAN;TREICHVILLE;07 55 08 08;TRANSPORTS / LOGISTIQUE
60;EDM TELECOM | EDM TELECOM;ABIDJAN;COCODY;49 91 12 66;Travaux tElEcoms (fouille, pose de PEHD et tirage de cAble FIBRE O
61;Sarl | LOC’HOPS;ABIDJAN;MARCORY;21 59 78 95;AUTRES ( Location de voitures,Agence de Voyage )
62;JLK PROMOTION | JLK PROMOTION;ABIDJAN;COCODY;08 18 36 03;ACTIVITES ARTISTIQUES, SPORTIVES ET RECREATIVES
63;HOTELLERIE - RESTAURATION - BAR | CHLC;SUD-COMOE;ADIAKE;21 30 76 96;HEBERGEMENT ET RESTAURATION
64;TRAVOPLUS CI | TRAVOPLUS CI;ABIDJAN;MARCORY;21 78 00 15;BTP / MATERIAUX DE CONSTRUCTION
65;FORATEC-LOITIO | FORATEC-LOITIO;ABIDJAN;YOPOUGON;07 98 98 74;BTP / MATERIAUX DE CONSTRUCTION
66;KENDA-AFRIQUE | KENDA-AFRIQUE;ABIDJAN;PLATEAU;20 33 19 98;TRANSPORTS / LOGISTIQUE
67;SOCIETE PHYTO PLUS | SOCIETE PHYTO PLUS;NAWA;SAN PEDRO;34 71 07 05;AGROALIMENTAIRE
68;ENERGIE PLURIELLE COTE D'IVOIRE | ENEPCI;ABIDJAN;KOUMASSI;21 28 65 26;ELECTRICITE GENERALE, VENTE, INSTALLATION ET MAINTEN
69;GLOBAL GRACE ENTREPRISE | GGE;ABIDJAN;YOPOUGON;23 48 52 98;COMMERCE / NEGOCE / DISTRIBUTION
70;H PLASTIQUES CI | H PLASTIQUES CI;ABIDJAN;ANYAMA;01 05 60 18;PLASTIQUE / CAOUTCHOUC
71;GERASSUR | GERASSUR;ABIDJAN;COCODY;22 41 48 62;BANQUE / ASSURANCE
72;GROUPE ALLIANCE | G A;ABIDJAN;COCODY;07 90 44 00;INFORMATIQUES
73;AFRICA BUSINESS | AFRICA BUSINESS;ABIDJAN;COCODY;22 54 61 14;ENSEIGNEMENT
74;LIFILED COTE D'IVOIRE | LIFILED CI;ABIDJAN;COCODY;07 28 81 81;AUTRES ( ENERGIES RENOUVELABLES )
75;GROUPE MANAHIM MULTISERVICES | G2M;ABIDJAN;COCODY;48 95 32 49;BTP / MATERIAUX DE CONSTRUCTION
76;SOMAM | SOMAM;ABIDJAN;COCODY;22 53 62 16;BTP / MATERIAUX DE CONSTRUCTION
77;BETHEL PRESSING | BETHEL PRESSING;NAWA;SAN PEDRO;34 70 47 66;AUTRES ( PRESSING LAVERIE )
78;GENERALE PRESTATION DE COTE D'IVOIRE (GPCI) | GP;YAMOUSSOUKRO;YAMOUSSOUKRO;89 23 22 41;Cormmerce gEnEral, production animale (Elevage-bourcherie
79;TURIONE TECHNOLOGIES | TT;ABIDJAN;COCODY;22 52 61 65;INFORMATIQUES
80;LA GENERALE DE DISTRIBUTION DE TRAVAUX ET DE P;ABIDJAN;KOUMASSI;07 20 07 49;AGROALIMENTAIRE
81;IMPRESSIONS | IMPRESSIONS;ABIDJAN;COCODY;79 17 17 44;PAPIER / CARTON / IMPRIMERIE
82;SANDROPHIA INTERNATIONAL;ABIDJAN;PLATEAU;20 33 23 70;COMMERCE / NEGOCE / DISTRIBUTION
83;KALLOMARKETING | KALLOMARKETING;ABIDJAN;YOPOUGON;23 53 57 77;COMMERCE / NEGOCE / DISTRIBUTION
84;GREEN MAX | GREEN MAX;ABIDJAN;COCODY;48 53 13 60;BTP / MATERIAUX DE CONSTRUCTION
85;CARNET DE VOYAGES | CV;ABIDJAN;COCODY;22 43 14 97;TRANSPORTS / LOGISTIQUE
86;MEDIMA-PHARMA | MEDIMA-PHARMA;ABIDJAN;COCODY;74 24 77 77;INDUSTRIE PHARMACEUTIQUE
87;LE FONCTIONNAIRE | LE FONCTIONNAIRE;GRANDS PONTS;DABOU;07 81 89 51;TRANSPORTS / LOGISTIQUE
88;EBURNEA CONSTRUCTION KRENIMA BTP | ECK BTP;ABIDJAN;ANYAMA;23 00 21 02;BTP / MATERIAUX DE CONSTRUCTION
89;LES ALADDINS | LES ALADDINS;ABIDJAN;COCODY;21 33 34 78;AUTRES ( DISTRIBUTION - FORMATION - BUSINESS HUB )
90;GROUPE ENOTEL;NAWA;SAN PEDRO;34 71 30 06;HEBERGEMENT ET RESTAURATION
91;MANUT CHALLENGE;ABIDJAN;TREICHVILLE;21 37 68 85;SERVICES AUX ENTREPRISES
92;MIRABELLE HOTEL | MIRABELLE HOTEL;N'ZI;DIMBOKRO;30 62 44 44;HEBERGEMENT ET RESTAURATION
93;FROID INDUSTRIEL ELECTRICITE BATIMENT | FROID IN;ABIDJAN;MARCORY;21 26 24 40;AUTRES ( FROID INDUSTRIEL-ELECTRICITE BATIMENT )
94;SociEtE CoopErative SimplifiEe Binkadi d'AkE-Douan | SCOOP;AGNEBY TIASSA;AGBOVILLE;23 54 60 35;AUTRES ( Agriculture )
95;ELECTRICITE TELECOM INFORTATIQUE ET SERVICES |;ABIDJAN;TREICHVILLE;21 35 86 08;SERVICES AUX ENTREPRISES
96;PS3D | PS3D;NAWA;SOUBRE;34 72 56 54;AGROALIMENTAIRE
97;SOCIETE IVOIRIENNE D'EXPLOITATION TOURISTIQUE |;ABIDJAN;COCODY;22 52 25 25;HEBERGEMENT ET RESTAURATION
98;CABINET CONSEILS ET DE GESTION D'ENTREPRISES |;ABIDJAN;COCODY;22 53 30 88;ETUDES ET CONSEILS
99;SOCIETE IVOIRIENNE DE TRANSIT D'ACCONAGE ET D'O;ABIDJAN;TREICHVILLE;21 25 55 27;TRANSPORTS / LOGISTIQUE
100;IVOIRE SIGNALISATIONS ET TRAVAUX DIVERS | ISTD;ABIDJAN;MARCORY;21 35 98 63;BTP / MATERIAUX DE CONSTRUCTION
101;OLEA | OLEA;ABIDJAN;COCODY;21 74 57 15;INDUSTRIE PHARMACEUTIQUE
102;ITINERAIRE STRATEGIQUE DU DEVELOPPEMENT CONS;ABIDJAN;COCODY;21 79 56 15;ETUDES ET CONSEILS
103;LES ETABLISSEMENTS SCOLAIRES MICHEL GNAN;NAWA;SOUBRE;34 72 29 18;ENSEIGNEMENT
104;GAUD COMPANY INTERNATIONALE | GCI;ABIDJAN;COCODY;22 43 03 95;BTP / MATERIAUX DE CONSTRUCTION
105;AGENCE FATY SERVICE | AFS-BTP;ABIDJAN;TREICHVILLE;21 24 24 57;BTP / MATERIAUX DE CONSTRUCTION
106;AZUR PRESSING | AZUR PRESSING;ABIDJAN;COCODY;22 41 55 30;SERVICES AUX ENTREPRISES
107;ENTREPRISE K.S | K.S;LAC;TOUMODI;06 22 81 97;BTP / MATERIAUX DE CONSTRUCTION
108;INVOLUZIONE | INVOLUZIONE;ABIDJAN;TREICHVILLE;87 62 38 95;COMMERCE / NEGOCE / DISTRIBUTION
109;SYMPOSIA CONSULT SARL | SC;ABIDJAN;COCODY;22 48 50 57;AUTRES ( EVENEMENTIELS )
110;SOCIETE COOPERATIVE AGRICOLE DE GAGNY | SOCOO;NAWA;SAN PEDRO;57 68 54 00;LA PRODUCTION, LA COLLECTE ET L'EXPORTATION DES PRO
111;RAMYA TECNOLOGIE ET INNOVATION | R T I;ABIDJAN;COCODY;47 68 20 27;ELECTRONIQUE / ELECTRICITE
112;Centre Medical ALIM;ABIDJAN;COCODY;22 53 59 00;AUTRES ( SantE humaine )
113;SOCIETE COOPERATIVE AGRICOLE ENTENTE DE MAHIN;NAWA;TABOU;24 38 03 94;AGROALIMENTAIRE
114;THABOR;ABIDJAN;COCODY;22 45 95 98;BTP / MATERIAUX DE CONSTRUCTION
115;REVUE D'IMPRIMERIE AFRICAINE | RIA;ABIDJAN;TREICHVILLE;21 24 35 98;PAPIER / CARTON / IMPRIMERIE
116;KALABOU MEUBLES;ABIDJAN;YOPOUGON;21 56 17 32;COMMERCE / NEGOCE / DISTRIBUTION
117;ECOLE SUPERIEURE D’INFORMATIQUE ET DE COMMER;ABIDJAN;COCODY;20 33 54 80;ENSEIGNEMENT
118;NANANS GROUP | NANANS GROUP;ABIDJAN;COCODY;77 84 51 33;AUDIOVISUEL & COMMUNICATION
119;ULTRACLEAN CORPORATE SARL | UCC SARL;ABIDJAN;MARCORY;21 35 98 34;SERVICES AUX ENTREPRISES
120;SENERGYS | SENERGYS;ABIDJAN;COCODY;22 49 74 08;ELECTRONIQUE / ELECTRICITE
121;ESPACE AUTOMOBILES | ESPA;ABIDJAN;MARCORY;21 35 98 74;MACHINES ET EQUIPEMENTS / AUTOMOBILE
122;SOCIETE COOPERATIVE AVEC CONSEIL D'ADMINISTRATION;INDENIE-DJUABLIN;ABENGOUROU;34 75 33 57;COMMERCE / NEGOCE / DISTRIBUTION
123;ENTREPRISE COULIBALY ET FAMILLE INTER | E.C.F-INT;ABIDJAN;YOPOUGON;23 52 62 12;BTP / MATERIAUX DE CONSTRUCTION
124;SOCIETE IVOIRIENNE DES GRANDS TRAVAUX D'AFRIQ;ABIDJAN;COCODY;225 49 15 05 16;BTP / MATERIAUX DE CONSTRUCTION
125;GANLOGIS | GANLOGIS;ABIDJAN;MARCORY;68 59 94 56;AGROALIMENTAIRE
126;HOTEL RESIDENCE NIRALA | HRN;SUD-COMOE;GRAND-BASSAM;58 33 33 67;HEBERGEMENT ET RESTAURATION
127;IVOIRE TRANSIT TRANSPORT INTER | ITTI;ABIDJAN;MARCORY;21 35 98 74;AUTRES ( Commissionnaire en douane-Transit et activitE connexes
128;L'Ivoirienne de la Construction et de la Reconstru | ICR;ABIDJAN;TREICHVILLE;09 64 43 55;BTP / MATERIAUX DE CONSTRUCTION
129;TOP CHRONO CI | TOP CHRONO CI;ABIDJAN;MARCORY;20 35 39 49;TRANSPORTS / LOGISTIQUE
130;LES EDITIONS MATRICE | LEM;ABIDJAN;YOPOUGON;58 22 45 08;PAPIER / CARTON / IMPRIMERIE
131;IVOIRE HAZOUME SOUROU | IVOIRE HS;ABIDJAN;ADJAME;20 37 73 86;AUTRES ( IMPRIMERIE )
132;COMPAGNIE DE CONSTRUCTION D'IMMOBILIERE ET D I;ABIDJAN;COCODY;22 43 08 71;BTP / MATERIAUX DE CONSTRUCTION
133;ICT4DEV | ICT4DEV;ABIDJAN;COCODY;48 90 04 55;INFORMATIQUES
134;COMPLEXE HOTELIER N'GO | HOTEL AKPARO;GRANDS PONTS;DABOU;23 57 24 38;HEBERGEMENT ET RESTAURATION
135;ELOHIM GLORY CONSULTING | ELOHIM GLORY CONSU L;ABIDJAN;YOPOUGON;21 77 70 63;ETUDES ET CONSEILS
136;COMM'EVE;ABIDJAN;COCODY;20 24 29 38;AUTRES ( IMPRIMERIE-EVENEMENTIEL-RESTAURATION-COMM
137;EASYMANAGEMENT;ABIDJAN;COCODY;22 43 38 86;ETUDES ET CONSEILS
138;SOCIETE HOTELLIERE MANTCHAN | SITHO;SUD-COMOE;GRAND-BASSAM;21 30 39 39;HEBERGEMENT ET RESTAURATION
139;ATELIER DES TECHNIQUES NOUVELLES | ATN;ABIDJAN;KOUMASSI;21 28 68 60;METAUX, CONSTRUCTIONS METALLIQUES, MECANIQUE, ELEC
140;2K Entreprise | 2KE;ABIDJAN;COCODY;22 43 61 79;ELECTRONIQUE / ELECTRICITE
141;RAMA SA | RAMA;SUD-COMOE;GRAND-BASSAM;21 31 16 66;ENSEIGNEMENT
142;CONSEIL INGENIERIE INFORMATIQUE FORMATION | 2IF;ABIDJAN;COCODY;86 31 90 77;INFORMATIQUES
143;TANO KADJO CONSTRUCTION SARL | TK Construction Sa;ABIDJAN;KOUMASSI;21 33 41 87;BTP / MATERIAUX DE CONSTRUCTION
144;NEGOCE INDUSTRIEL ET LOGISTIQUE | N I L;ABIDJAN;TREICHVILLE;21 59 47 59;COMMERCE / NEGOCE / DISTRIBUTION
145;ELITE COTE D'IVOIRE CONSULTING SARL | ELITE CI;ABIDJAN;PLATEAU;20 22 61 92;INFORMATIQUES
146;EPV LES CHERUBINS D'ANYAMA;ABIDJAN;ANYAMA;;ENSEIGNEMENT
147;KONI METAL INTERNATIONAL | KMI SARL;ABIDJAN;YOPOUGON;23 46 23 50;METALLURGIE / TRAVAIL DU METAL
148;INGENIEURS CONSEIL EN INFRASTRUCTURE | ICI-CI;ABIDJAN;PLATEAU;20 30 01 55;ETUDES ET CONSEILS
149;Coeurs Unis de JEsus et Marie | JM Transport;ABIDJAN;ADJAME;08 37 77 35;TRANSPORTS / LOGISTIQUE
150;SYNERGIE TECHNOLOGY GROUP | SYTEG;ABIDJAN;COCODY;22 43 64 40;INFORMATIQUES
151;SODETAP | SODETAP;ABIDJAN;COCODY;22 41 76 23;COMMERCE / NEGOCE / DISTRIBUTION
152;Real Commodities Sarl | RCOM Sarl;ABIDJAN;PLATEAU;49 70 89 86;COMMERCE / NEGOCE / DISTRIBUTION
153;JEKEVY SERVICES | JEKEVY SERVICES;ABIDJAN;TREICHVILLE;21 24 55 44;TRANSPORTS / LOGISTIQUE
154;CINETPAY;ABIDJAN;COCODY;22 01 86 20;SERVICES AUX ENTREPRISES
155;IBI COTE D'IVOIRE | IBI;ABIDJAN;COCODY;22 45 95 98;INFORMATIQUES
156;ETABLISSEMENT DAGNOGO KAPARI ET FILS | ADKF;ABIDJAN;YOPOUGON;22 50 99 40;AGROALIMENTAIRE
157;ZARA TRANSIT | ZT;ABIDJAN;MARCORY;21 24 28 20;AUTRES ( TRANSIT - FRET )
158;KEHANON | KEHANON;ABIDJAN;BINGERVILLE;07 23 59 97;ARTISANAT ART ET DE DECORATION
159;AK MULTI SERVICES | AK MULTI SERVICES;ABIDJAN;COCODY;08 00 74 87;HEBERGEMENT ET RESTAURATION
160;COMPTOIR IVOIRIEN DE MATERIELS AGRICOLES | CIMA;NAWA;SAN PEDRO;34 71 12 94;COMMERCE / NEGOCE / DISTRIBUTION
161;OUATTARA SIRIMA (GIP-ENTREPRISES) | GIP-ENTREPR I;ABIDJAN;MARCORY;21 26 13 73;SERVICES AUX ENTREPRISES
162;REGIE INDENIE | REGIE INDENIE;ABIDJAN;COCODY;22 42 09 07;AUDIOVISUEL & COMMUNICATION
163;AL HOUDA VOYAGE | AL HOUDA VOYAGE;ABIDJAN;YOPOUGON;23 00 18 80;AUTRES ( VOYAGES ET TOURISMES )
164;ENTREPRISE ELIAS | ELIAS;ABIDJAN;YOPOUGON;21 26 29 42;BTP / MATERIAUX DE CONSTRUCTION
165;CAK PRESTATIONS | CAKP;ABIDJAN;COCODY;22 59 15 21;AUTRES ( RESTAURATION-SERVICES TRAITEUR & LOCATION )
166;ATELIER G & Z;ABIDJAN;KOUMASSI;21 28 80 90;AUTRES ( Balancier pour l'installation, la rEparation des compteurs h
167;VISIONS PHARMA CI;ABIDJAN;MARCORY;22 42 96 10;INDUSTRIE PHARMACEUTIQUE
168;SOUMKO GROUP;ABIDJAN;COCODY;57 66 65 67;AUTRES ( AGENCE DE VOYAGES ET TOURISME, EVENEMENTI
169;2K ENTREPRISE;ABIDJAN;COCODY;+225 07 90 99 40;ELECTRICITE, GENIE CIVIL
170;3R TECHNOLOGIE;ABIDJAN;MARCORY;+225 48 78 97 87;INFORMATIQUES
171;AB GROUP;ABIDJAN;COCODY;+225 07 73 45 36;TRANSPORT LOGISTIQUE
172;ABASS PRESTATION ET SERVICES;ABIDJAN;ADJAME;+225 08 19 25 33;BTP / MATERIAUX DE CONSTRUCTION
173;AFRICAN CHALLENGE SERVICES;ABIDJAN;COCODY;07 83 20 92;COMMUNICATION, STRATEGIE, SERVICES DIVERSES
174;AFRICAN FIBER CABLE FACTORY;ABIDJAN;PLATEAU;+225 88 32 86 79;ASSEMBLAGE DE CABLE FIBRE OPTIQUE
175;ALLIANCE ZAGO ENTREPRISE;ABIDJAN;YOPOUGON;+225 77 11 62 62;ACTIVITE DE SERVICES, DE SOUTIEN ET DE BUREAU
176;ALLMANN GROUP;ABIDJAN;RIVIERA PALMERAIE;+225 08 42 77 75;BTP / MATERIAUX DE CONSTRUCTION
177;BAFAGA SERVICES;ABIDJAN;COCODY ANGRE;+225 09 85 72 14;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BUREAU
178;BARUC SARL;ABIDJAN;COCODY;+225 07 06 77 71;BTP / MATERIAUX DE CONSTRUCTION
179;BIOMEA;ABIDJAN;2 PLATEAUX;+225 75 48 37 35;SANTE
180;BIOSYNERGIE;ABIDJAN;2 PLATEAUX;+225 57 48 18 44;COMMERCE / NEGOCE / DISTRIBUTION
181;CARSYL SARL;ABIDJAN;COCODY;+225 07 57 19 90 90;AGRO-PASTORAL, TIC, DIVERSES PRESTATION
182;COLLEGE LE BON BERGER;LOH-DJIBOUA;DIVO;+225 32 76 28 92;ENSEIGNEMENT
183;COMPLEXE HOTELIER LE JARDIN D’EDEN;N'ZI;BOCANDA;+225 58 07 34 60;HOTELLERIE / LOCATION DE SALLE / SERVICE TRAITEUR
184;COOPERATIVE AGRICOLE SIBOULAKA DE BONON;MARAHOUE;BONON;+225 07 78 73 65;COOPERATIVE
185;DAREEN ENTREPRISE;ABIDJAN;COCODY;+225 54 54 04 01;TRANSPORT / LOGISTIQUE
186;DESTINY VOYAGES TOURISME TRAVEL AGENCY;ABIDJAN;COCODY;+225 56 09 79 61;TRANSPORT / LOGISTIQUE
187;DGE PRODUCTION;NAWA;SAN PEDRO;+225 07 35 34 79;AUDIOVISUEL & COMMUNICATION
188;ENTREPRISE SOW IBRAHIMA ET FILS;TCHOLOGO;OUANGOLODOUGOU;+225 08 23 55 53;TRANSPORT / LOGISTIQUE
189;ETUDES ET RECHERCHE DE FINANCEMENT;ABIDJAN;COCODY ANGRE;+225 09 30 83 62;ETUDES ET CONSEILS
190;GRANDE ENTREPRISE SOW-TRAVAUX PUBLICS ET CON;TONKPI;MAN;+225 08 72 16 57;BTP / MATERIAUX DE CONSTRUCTION
191;GROUPE KAF INTERNATIONAL / BTP SARL;ABIDJAN;COCODY RIVIERA;+225 06 04 03 11;BTP / MATERIAUX DE CONSTRUCTION
192;HARMONIE SERVICES COTE D’IVOIRE;YAMOUSSOUKRO;YAMOUSSOUKRO;+225 07 99 19 28;BTP / MATERIAUX DE CONSTRUCTION
193;HOTEL GLORIA;GOH;GAGNOA;+225 02 25 11 24;HEBERGEMENT ET RESTAURATION
194;HOTEL HOREZA;HAUT-SASSANDRA;DALOA;+225 07 69 17 40;HEBERGEMENT ET RESTAURATION
195;INTELLIGENCE;ABIDJAN;COCODY;+225 01 06 03 92;SERVICES AUX ENTREPRISES
196;IVOIRE ESPERANCE SERVICES;ABIDJAN;2 PLATEAUX;+225 08 32 35 48;ETUDES ET CONSEILS
197;KARMAX;ABIDJAN;PORT BOUET;+225 47 55 71 85;HOTELERIE RESTAURATION BAR RECOUVREMENT DE CREAN
198;LOGIMMO SARL;ABIDJAN;COCODY;+225 54 00 00 04;TRANSPORTS / LOGISTIQUE
199;LOGISTIC TRANSPORT ET FRET;ABIDJAN;PLATEAU;+225 08 23 26 10;TRANSPORTS / LOGISTIQUE
200;LOGISTIQUE CONSEIL;TCHOLOGO;FERKE;+225 48 03 74 95;BTP, GENIE CIVIL
201;LORENZO HOTELS ET RESORTS;HAUT-SASSANDRA;DALOA;+225 01 20 25 20;HEBERGEMENT ET RESTAURATION
202;LUNA VOYAGES;ABIDJAN;TREICHVILLE;+225 01 05 43 39;AGENCE DE VOYAGES ET TOURISME, BILLETERIE
203;MATIS INTERNATIONAL;ABIDJAN;BINGERVILLE;+225 48 09 50 14;MECANIQUE / TRANSPORT
204;MOTCHET ENTREPRISE;ABIDJAN;COCODY;+225 47 99 60 92;PRESTATION DE SERVICE, AGRO-PASTORALES
